商家nick ,seller  ID,店铺承接页url(必填),静态页地址
美旅官方旗舰店,667336302,https://at.tmall.com/campaign-10025-53.htm,
美特斯邦威官方网店,134363478,https://metersbonwe.tmall.com/campaign-10025-145.htm,
ao史密斯官方旗舰店,807040407,https://aosmith.tmall.com/campaign-10025-55.htm,
佳能官方旗舰店,2134802284,https://canon.tmall.com/campaign-10025-44.htm,
hollandbarrett海外旗舰店,2592047981,https://hollandbarrett.tmall.hk/campaign-10025-56.htm,
正泰电工官方旗舰店,392905216,https://zhengtaizj.tmall.com/campaign-10025-44.htm,
长虹尚境专卖店,3915715422,https://changhongshangjing.tmall.com/campaign-10025-2.htm,
thinkpad官方旗舰店,2955374408,https://thinkpad.tmall.com/campaign-10025-41.htm,
crocs官方旗舰,748681129,https://crocs.tmall.com/campaign-10025-55.htm,
劲牌官方旗舰店,394316784,https://jing.tmall.com/campaign-10025-38.htm,
ogawa奥佳华旗舰店,1771842251,https://aojiahua.tmall.com/campaign-10025-34.htm,
givenchy纪梵希官方旗舰店,3570503317,https://givenchy.tmall.com/campaign-10025-5.htm,
欧莱雅彩妆旗舰店,3599799148,https://lorealhzp.tmall.com/campaign-10025-6.htm,
飞鹤官方旗舰店,401420443,https://feihe.tmall.com/campaign-10025-35.htm,
沃隆旗舰店,2745562235,https://wolongsp.tmall.com/campaign-10025-32.htm,
小迷糊旗舰店,1612908143,https://xiaomihu.tmall.com/campaign-10025-30.htm,
韩束官方旗舰店,653243179,https://kans.tmall.com/campaign-10025-51.htm,
hanhoo韩后旗舰店,1664976033,https://hanhoohzp.tmall.com/campaign-10025-62.htm,
小米官方旗舰店,1714128138,https://xiaomi.tmall.com/campaign-10025-138.htm,
帕森旗舰店,1732515655,https://parzin.tmall.com/campaign-10025-50.htm,
大自然家具官方旗舰店,391855827,https://daziranjj.tmall.com/campaign-10025-53.htm,
beats官方旗舰店,1809177149,https://beats.tmall.com/campaign-10025-61.htm,
伊丽莎白雅顿官方旗舰店,1818112088,https://elizabetharden.tmall.com/campaign-10025-81.htm,
欧珀莱官方旗舰店,1761495540,https://aupres.tmall.com/campaign-10025-55.htm,
三星官方旗舰店,370627083,https://samsung.tmall.com/campaign-10025-48.htm,
innisfree官方旗舰店,845001562,https://innisfree.tmall.com/campaign-10025-49.htm,
喜临门官方旗舰店,387542955,https://xilinmen.tmall.com/campaign-10025-53.htm,
西门子家电官方旗舰店,859230932,https://siemens-home.tmall.com/campaign-10025-71.htm,
海昌官方旗舰店,3372144204,https://haichangyxyj.tmall.com/campaign-10025-11.htm,
bangolufsen旗舰店,1656561497,https://bangolufsen.tmall.com/campaign-10025-48.htm,
bose旗舰店,1917244165,https://bose.tmall.com/campaign-10025-40.htm,
他她官方旗舰店,353042353,https://tata.tmall.com/campaign-10025-95.htm,
金可儿旗舰店,1691788071,https://jinkeer.tmall.com/campaign-10025-57.htm,
玛丽黛佳旗舰店,479966771,https://mariedalgar.tmall.com/campaign-10025-46.htm,
科沃斯旗舰店,420722466,https://ecovacssz.tmall.com/campaign-10025-61.htm,
jmgo坚果旗舰店,2587461980,https://jmgo.tmall.com/campaign-10025-37.htm,
得力官方旗舰店,407910984,https://deli.tmall.com/campaign-10025-53.htm,
极米科技旗舰店,2177009988,https://jimikeji.tmall.com/campaign-10025-43.htm,
kindle官方旗舰店,2099020602,https://kindle.tmall.com/campaign-10025-51.htm,
丝涟旗舰店,2436676752,https://sealy.tmall.com/campaign-10025-49.htm,
苏泊尔官方旗舰店,160586276,https://supor.tmall.com/campaign-10025-38.htm,
长虹官方旗舰店,186811816,https://changhongtv.tmall.com/campaign-10025-56.htm,
夏普官方旗舰店,2993567440,https://sharp.tmall.com/campaign-10025-36.htm,
ochirly官方旗舰店,272205633,https://ochirly.tmall.com/campaign-10025-103.htm,
意尔康皮鞋旗舰店,215312615,https://yearcon.tmall.com/campaign-10025-75.htm,
阿芙官方旗舰店,379250310,https://afusjt.tmall.com/campaign-10025-58.htm,
ysl圣罗兰美妆官方旗舰店,3626596873,https://yslbeauty.tmall.com/campaign-10025-6.htm,
ito旗舰店,1708384427,https://ito.tmall.com/campaign-10025-57.htm,
marshall影音旗舰店,2942881146,https://marshallyy.tmall.com/campaign-10025-26.htm,
皇家宠物食品旗舰店,1728261286,https://royalcanin.tmall.com/campaign-10025-34.htm,
阿玛尼美妆官方旗舰店,3527212490,https://giorgioarmanibeauty.tmall.com/campaign-10025-7.htm,
比瑞吉旗舰店,1994001584,https://biruiji.tmall.com/campaign-10025-39.htm,
isdg海外旗舰店,2159616682,https://isdg.tmall.hk/campaign-10025-50.htm,
havaianas旗舰店,1596859518,https://havaianas.tmall.com/campaign-10025-67.htm,
海信集团官方旗舰店,3430046241,https://hisensegroup.tmall.com/campaign-10025-4.htm,
dettol滴露官方旗舰店,2405035918,https://dettol.tmall.com/campaign-10025-38.htm,
durex杜蕾斯官方旗舰店,1986899349,https://durex.tmall.com/campaign-10025-30.htm,
贵人鸟官方运动旗舰店,720594490,https://kbird.tmall.com/campaign-10025-51.htm,
movefree官方海外旗舰店,2798015967,https://movefree.tmall.hk/campaign-10025-42.htm,
kiehls科颜氏官方旗舰店,3164711246,https://kiehls.tmall.com/campaign-10025-24.htm,
clinique倩碧官方旗舰店,1653734047,https://clinique.tmall.com/campaign-10025-52.htm,
相宜本草官方旗舰店,90919986,https://xybc.tmall.com/campaign-10025-59.htm,
小熊电器官方旗舰店,175592270,https://bear.tmall.com/campaign-10025-64.htm,
伊维斯官方旗舰店,556600480,https://enweis.tmall.com/campaign-10025-236.htm,
dm海外旗舰店,3014868997,https://dm-deguo.tmall.hk/campaign-10025-23.htm,
卡姿兰官方旗舰店,755579902,https://carslan.tmall.com/campaign-10025-43.htm,
美即官方旗舰店,353026386,https://mgbk.tmall.com/campaign-10025-48.htm,
施华蔻官方旗舰店,730053232,https://schwarzkopf.tmall.com/campaign-10025-64.htm,
drcilabo海外旗舰店,3157354417,https://drcilabo.tmall.hk/campaign-10025-19.htm,
鸿星尔克erke旗舰店,349740505,https://erke.tmall.com/campaign-10025-81.htm,
361度官方旗舰,363607599,https://361du.tmall.com/campaign-10025-95.htm,
百丽官方旗舰店,167873659,https://ebelle.tmall.com/campaign-10025-69.htm,
coyeee加一尚品官方旗舰店,908255108,https://coyeee.tmall.com/campaign-10025-56.htm,
guess官方旗舰店,1656456252,https://guess.tmall.com/campaign-10025-124.htm,
罗莱家纺官方旗舰店,279887075,https://luolai.tmall.com/campaign-10025-63.htm,
魅族官方旗舰店,1695308781,https://meizu.tmall.com/campaign-10025-61.htm,
dyson戴森官方旗舰店,2089100916,https://dyson.tmall.com/campaign-10025-44.htm,
anta官方旗舰店,385132127,https://anta.tmall.com/campaign-10025-104.htm,
伊芙丽旗舰店,641725918,https://eifini.tmall.com/campaign-10025-75.htm,
