 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; OPPO R9 Plusm A Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; WAS-AL00 Build/HUAWEIWAS-AL00)"
 "Dalvik/1.6.0 (Linux; U; Android 4.3; SM-N9008 Build/JSS15J)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; Letv X500 Build/DBXCNOP5801708252S)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; DUK-AL20 Build/HUAWEIDUK-AL20)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; OPPO R9m Build/LMY47I)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; BLA-AL00 Build/HUAWEIBLA-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4C MIUI/V9.5.3.0.MXDCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; HWI-AL00 Build/HUAWEIHWI-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11s Plus Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo X7 Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; BLA-AL00 Build/HUAWEIBLA-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; CAM-TL00H Build/HONORCAM-TL00H)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9 Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; HUAWEI NXT-AL10 Build/HUAWEINXT-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; MI 6 MIUI/V9.5.8.0.OCACNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11 Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; OPPO R9s Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; BAC-AL00 Build/HUAWEIBAC-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; OPPO R9 Plustm A Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11s Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; PACM00 Build/O11019)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; EML-AL00 Build/HUAWEIEML-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; Redmi Note 4X MIUI/V9.5.2.0.NCFCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; HUAWEI MLA-AL10 Build/HUAWEIMLA-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; PACM00 Build/O11019)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; PACT00 Build/O11019)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; OPPO R9 Plusm A Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; OPPO R9st Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; VTR-AL00 Build/HUAWEIVTR-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; STF-AL10 Build/HUAWEISTF-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; HUAWEI CAZ-AL10 Build/HUAWEICAZ-AL10)"
